"0...1","Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно","Число избирательных бюллетеней, выданных в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования","Число погашенных избирательных бюллетеней","Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования","Число недействительных избирательных бюллетеней","Число действительных избирательных бюллетеней","Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных на избирательном участке до дня голосования","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке","Число погашенных неиспользованных открепительных удостоверений","Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией","Число утраченных открепительных удостоверений","Число утраченных избирательных бюллетеней","Число избирательных бюллетеней, не учтенных при получении","0...20","1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""","0...22","2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ","0...24","3. Политическая партия ""Российская партия пенсионеров за справедливость""","0...26","4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""","0...28","5. Политическая партия ""Российская экологическая партия ""Зеленые""","0...30","6. Политическая партия ""Гражданская Платформа""","0...32","7. Политическая партия ЛДПР - Либерально-демократическая партия России","0...34","8. Политическая партия ""Партия народной свободы"" (ПАРНАС)","0...36","9. Всероссийская политическая партия ""ПАРТИЯ РОСТА""","0...38","10. Общественная организация Всероссийская политическая партия ""Гражданская Сила""","0...40","11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""","0...42","12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""","0...44","13. Политическая партия ""ПАТРИОТЫ РОССИИ""","0...46","14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ","0...48"
"УИК №784",1916,1500,0,593,5,902,5,593,5,593,30,11,7,19,1,0,0,0,0,13,"2.17%",3,"0.50%",9,"1.51%",252,"42.14%",7,"1.17%",0,"0.00%",78,"13.04%",10,"1.67%",42,"7.02%",4,"0.67%",49,"8.19%",68,"11.37%",1,"0.17%",57,"9.53%"
"УИК №785",2350,2000,0,678,6,1316,6,678,14,670,30,17,3,13,2,0,0,0,0,8,"1.17%",15,"2.19%",17,"2.49%",258,"37.72%",7,"1.02%",1,"0.15%",87,"12.72%",9,"1.32%",58,"8.48%",4,"0.58%",50,"7.31%",79,"11.55%",2,"0.29%",75,"10.96%"
"УИК №786",1325,1000,0,408,8,584,8,408,10,406,30,12,1,18,0,0,0,0,0,3,"0.72%",4,"0.96%",12,"2.88%",151,"36.30%",6,"1.44%",1,"0.24%",52,"12.50%",10,"2.40%",32,"7.69%",4,"0.96%",34,"8.17%",42,"10.10%",2,"0.48%",53,"12.74%"
"УИК №787",1988,1500,0,791,6,703,6,785,16,775,30,22,14,8,4,0,0,0,0,18,"2.28%",13,"1.64%",20,"2.53%",299,"37.80%",4,"0.51%",1,"0.13%",55,"6.95%",17,"2.15%",78,"9.86%",1,"0.13%",91,"11.50%",120,"15.17%",2,"0.25%",56,"7.08%"
"УИК №788",2628,2500,0,920,2,1578,2,917,10,909,45,36,5,9,1,0,0,0,0,28,"3.05%",10,"1.09%",23,"2.50%",301,"32.75%",19,"2.07%",3,"0.33%",72,"7.83%",21,"2.29%",115,"12.51%",4,"0.44%",138,"15.02%",115,"12.51%",2,"0.22%",58,"6.31%"
"УИК №789",2119,2000,0,620,0,1380,0,617,10,607,30,18,10,12,6,0,0,0,0,15,"2.43%",10,"1.62%",14,"2.27%",196,"31.77%",12,"1.94%",3,"0.49%",72,"11.67%",18,"2.92%",68,"11.02%",2,"0.32%",60,"9.72%",74,"11.99%",1,"0.16%",62,"10.05%"
"УИК №790",2399,2000,0,730,5,1265,5,725,10,720,45,27,35,18,2,0,0,0,0,18,"2.47%",6,"0.82%",14,"1.92%",264,"36.16%",0,"0.00%",0,"0.00%",84,"11.51%",13,"1.78%",62,"8.49%",3,"0.41%",84,"11.51%",100,"13.70%",3,"0.41%",69,"9.45%"
"УИК №791",2444,2000,0,690,4,1306,4,682,9,677,30,15,8,15,5,0,0,0,0,27,"3.94%",5,"0.73%",19,"2.77%",228,"33.24%",11,"1.60%",2,"0.29%",92,"13.41%",0,"0.00%",70,"10.20%",0,"0.00%",54,"7.87%",97,"14.14%",3,"0.44%",69,"10.06%"
"УИК №792",2097,2000,0,696,6,1298,6,696,21,681,45,23,7,22,2,0,0,0,0,29,"4.13%",9,"1.28%",18,"2.56%",270,"38.46%",17,"2.42%",4,"0.57%",89,"12.68%",11,"1.57%",46,"6.55%",3,"0.43%",54,"7.69%",79,"11.25%",2,"0.28%",50,"7.12%"
"УИК №793",2208,2000,0,757,32,1211,32,752,10,774,30,19,7,11,4,0,0,0,0,38,"4.85%",4,"0.51%",25,"3.19%",303,"38.65%",16,"2.04%",1,"0.13%",56,"7.14%",11,"1.40%",86,"10.97%",2,"0.26%",118,"15.05%",66,"8.42%",2,"0.26%",46,"5.87%"
"УИК №794",1945,1500,0,642,8,850,8,642,17,633,30,22,5,8,2,0,0,0,0,20,"3.08%",7,"1.08%",13,"2.00%",269,"41.38%",9,"1.38%",1,"0.15%",52,"8.00%",14,"2.15%",38,"5.85%",1,"0.15%",72,"11.08%",75,"11.54%",3,"0.46%",59,"9.08%"
"УИК №795",2467,2000,0,660,5,1335,5,644,13,636,45,26,8,19,1,0,0,0,0,16,"2.47%",5,"0.77%",13,"2.00%",238,"36.67%",9,"1.39%",2,"0.31%",74,"11.40%",11,"1.69%",55,"8.47%",0,"0.00%",72,"11.09%",80,"12.33%",2,"0.31%",59,"9.09%"
"УИК №796",2594,2500,0,751,6,1743,6,736,24,718,30,17,9,13,3,0,0,0,0,23,"3.10%",5,"0.67%",25,"3.37%",268,"36.12%",16,"2.16%",0,"0.00%",85,"11.46%",16,"2.16%",63,"8.49%",2,"0.27%",78,"10.51%",63,"8.49%",6,"0.81%",68,"9.16%"
"УИК №797",2133,2000,0,628,15,1357,15,627,13,629,30,17,6,13,3,0,0,0,0,14,"2.18%",12,"1.87%",9,"1.40%",266,"41.43%",15,"2.34%",2,"0.31%",81,"12.62%",8,"1.25%",54,"8.41%",1,"0.16%",43,"6.70%",85,"13.24%",2,"0.31%",37,"5.76%"
"УИК №798",2186,2000,0,717,8,1275,8,709,12,705,30,21,11,9,5,0,0,0,0,16,"2.23%",8,"1.12%",13,"1.81%",304,"42.40%",10,"1.39%",2,"0.28%",72,"10.04%",9,"1.26%",58,"8.09%",2,"0.28%",77,"10.74%",63,"8.79%",3,"0.42%",68,"9.48%"
"УИК №799",2004,2000,0,617,3,1380,3,614,10,607,30,20,5,10,4,0,0,0,0,11,"1.78%",6,"0.97%",12,"1.94%",244,"39.55%",15,"2.43%",3,"0.49%",66,"10.70%",10,"1.62%",45,"7.29%",0,"0.00%",66,"10.70%",71,"11.51%",4,"0.65%",54,"8.75%"
"УИК №800",2282,2000,0,779,4,1217,4,775,13,766,45,28,8,17,1,0,0,0,0,24,"3.08%",8,"1.03%",20,"2.57%",246,"31.58%",9,"1.16%",2,"0.26%",88,"11.30%",17,"2.18%",81,"10.40%",2,"0.26%",103,"13.22%",79,"10.14%",2,"0.26%",85,"10.91%"
"УИК №801",1561,1500,0,497,32,971,32,497,6,523,30,5,3,25,2,0,0,0,0,11,"2.08%",4,"0.76%",11,"2.08%",253,"47.83%",8,"1.51%",1,"0.19%",40,"7.56%",6,"1.13%",48,"9.07%",2,"0.38%",32,"6.05%",72,"13.61%",0,"0.00%",35,"6.62%"
"УИК №802",2469,2000,0,822,16,1162,16,781,13,784,30,26,18,4,3,0,0,0,0,4,"0.50%",7,"0.88%",11,"1.38%",393,"49.31%",0,"0.00%",2,"0.25%",93,"11.67%",21,"2.63%",22,"2.76%",1,"0.13%",79,"9.91%",105,"13.17%",2,"0.25%",44,"5.52%"
"УИК №803",2300,2000,0,736,3,1261,3,736,48,691,30,28,12,2,1,0,0,0,0,7,"0.95%",9,"1.22%",11,"1.49%",362,"48.99%",13,"1.76%",0,"0.00%",60,"8.12%",15,"2.03%",45,"6.09%",1,"0.14%",58,"7.85%",68,"9.20%",1,"0.14%",41,"5.55%"
"УИК №804",2349,2000,0,789,4,1207,4,788,10,782,30,20,19,10,4,0,0,0,0,22,"2.78%",11,"1.39%",25,"3.16%",296,"37.37%",15,"1.89%",4,"0.51%",75,"9.47%",14,"1.77%",56,"7.07%",5,"0.63%",90,"11.36%",115,"14.52%",2,"0.25%",52,"6.57%"
"УИК №805",1970,1500,0,537,8,955,8,536,6,538,30,14,20,16,4,0,0,0,0,14,"2.57%",5,"0.92%",9,"1.65%",265,"48.71%",5,"0.92%",2,"0.37%",63,"11.58%",11,"2.02%",38,"6.99%",0,"0.00%",35,"6.43%",52,"9.56%",2,"0.37%",37,"6.80%"
"УИК №806",2471,2000,0,786,12,1202,12,786,8,790,30,26,3,4,1,0,0,0,0,23,"2.88%",3,"0.38%",18,"2.26%",362,"45.36%",8,"1.00%",2,"0.25%",104,"13.03%",15,"1.88%",60,"7.52%",3,"0.38%",63,"7.89%",79,"9.90%",1,"0.13%",49,"6.14%"
"УИК №807",2345,2000,0,724,46,1230,46,724,1,769,30,24,27,6,4,0,0,0,0,8,"1.04%",3,"0.39%",5,"0.65%",456,"59.22%",5,"0.65%",1,"0.13%",191,"24.81%",3,"0.39%",5,"0.65%",1,"0.13%",20,"2.60%",37,"4.81%",2,"0.26%",32,"4.16%"
